,name,ltq,Trade,ltp,high,low,PCR,HTH,LTL,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
18,ICICIPRULI,1500,YES,622.65,629.0,617.5,0,Was HTH | 624.0,No,"No buy, but in Long",crossed below,sell,sell,In Short,4774913,2021-10-27 01:47:25.352824
19,IDFCFIRSTB,9500,NO,52.85,53.0,49.55,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,2863105,2021-10-27 01:47:32.322502
20,INDUSINDBK,900,NO,1154.9,1193.0,1137.7,0,Less,LTL,"No buy, but in Long",crossed above,sell,sell,In Long,1346049,2021-10-27 01:47:39.222108
21,KOTAKBANK,400,YES,2210.95,2240.0,2123.7,0,HTH,No,"No sell, but in Short",crossed above,buy,buy,In Long,492033,2021-10-27 01:47:48.812795
22,L&TFH,8924,NO,84.85,85.15,81.5,0,Less,No,"No sell, but in Short",crossed above,buy,buy,In Long,6386689,2021-10-27 01:47:58.151519
23,LICHSGFIN,2000,YES,405.8,408.2,398.65,0,Less,No,"No sell, but in Short",crossed below,buy,buy,In Short,511233,2021-10-27 01:48:02.278434
24,M&MFIN,4000,NO,188.2,189.35,179.35,0,Was HTH | 188.55,No,"No buy, but in Long",crossed above,buy,buy,In Long,3400961,2021-10-27 01:48:09.133461
25,MANAPPURAM,6000,YES,204.5,207.9,200.0,0,HTH,No,"No buy, but in Long",crossed above,buy,sell,In Long,4879617,2021-10-27 01:48:16.485208
26,MFSL,650,YES,975.9,993.9,954.65,0,Was HTH | 979.85,No,"No sell, but in Short",crossed below,buy,buy,In Short,548353,2021-10-27 01:48:20.362518
27,MUTHOOTFIN,750,In between,1529.3,1542.0,1504.0,0,Less,Was LTL | 1506.65,"No sell, but in Short",crossed above,buy,buy,In Long,6054401,2021-10-27 01:48:27.212309
28,NAM-INDIA,1600,NO,430.95,442.0,425.0,0,Less,Was LTL | 427.05,"No buy, but in Long",crossed below,sell,sell,In Short,91393,2021-10-27 01:48:31.673203
29,PEL,275,YES(1st priority ),2673.2,2703.3,2595.2,0,HTH,No,"No sell, but in Short",crossed above,buy,buy,In Short,617473,2021-10-27 01:48:36.362042
30,PFC,6200,"YES (very slow movement, 2-3 days time good returns)",137.2,140.0,135.75,0,Was HTH | 138.0,No,"No buy, but in Long",crossed below,sell,sell,In Short,3660545,2021-10-27 01:48:40.111398
31,PNB,16000,NO,45.85,47.6,45.2,0,HTH,No,"No buy, but in Long",crossed below,sell,sell,In Long,2730497,2021-10-27 01:48:46.384713
32,RBLBANK,2900,NO,210.85,212.75,205.3,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,4708097,2021-10-27 01:48:55.107227
33,RECLTD,6000,YES,151.7,153.45,148.0,0,Was HTH | 152.05,No,"No sell, but in Short",crossed below,buy,buy,In Short,3930881,2021-10-27 01:48:59.030164
34,SBILIFE,750,NO,1172.05,1178.3,1134.0,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Short,5582849,2021-10-27 01:49:06.971581
35,SBIN,1500,In between,512.55,518.2,507.6,0,Was HTH | 515.45,No,"No sell, but in Short",crossed above,buy,sell,In Short,779521,2021-10-27 01:49:11.050474
36,SRTRANSFIN,400,In between,1525.9,1588.0,1496.6,0,Was HTH | 1540.25,No,"No buy, but in Long",crossed above,sell,sell,In Long,1102337,2021-10-27 01:49:18.200491
